Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 12:31 EST
"Nutrient data for: 21007, Fast foods, biscuit, with egg, cheese, and bacon"
Nutrient,Unit,1Value per 100 g,"1 item = 145.0g",
Proximates
"Water",g,42.99,62.34
"Energy",kcal,301,436
"Protein",g,12.01,17.41
"Total lipid (fat)",g,17.48,25.35
"Carbohydrate, by difference",g,24.44,35.44
"Fiber, total dietary",g,0.2,0.3
"Sugars, total",g,1.74,2.52
Minerals
"Calcium, Ca",mg,103,149
"Iron, Fe",mg,1.57,2.28
"Magnesium, Mg",mg,15,22
"Phosphorus, P",mg,363,526
"Potassium, K",mg,131,190
"Sodium, Na",mg,816,1183
"Zinc, Zn",mg,1.09,1.58
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.269,0.390
"Riboflavin",mg,0.247,0.358
"Niacin",mg,2.350,3.408
"Vitamin B-6",mg,0.113,0.164
"Folate, DFE",µg,75,109
"Vitamin B-12",µg,0.86,1.25
"Vitamin A, RAE",µg,77,112
"Vitamin A, IU",IU,294,426
"Vitamin E (alpha-tocopherol)",mg,1.02,1.48
"Vitamin D (D2 + D3)",µg,0.5,0.7
"Vitamin D",IU,21,30
"Vitamin K (phylloquinone)",µg,4.2,6.1
Lipids
"Fatty acids, total saturated",g,5.893,8.545
"Fatty acids, total monounsaturated",g,8.035,11.651
"Fatty acids, total polyunsaturated",g,1.922,2.787
"Cholesterol",mg,166,241
Amino Acids
Other
"Caffeine",mg,0,0
