Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 12:32 EST
"Nutrient data for: 21097, Fast foods, cheeseburger; single, large patty; with condiments and bacon"
Nutrient,Unit,1Value per 100 g,"1 item = 211.0g",
Proximates
"Water",g,46.85,98.85
"Energy",kcal,282,595
"Protein",g,15.78,33.30
"Total lipid (fat)",g,15.86,33.46
"Carbohydrate, by difference",g,18.89,39.86
"Fiber, total dietary",g,1.3,2.7
"Sugars, total",g,4.63,9.77
Minerals
"Calcium, Ca",mg,137,289
"Iron, Fe",mg,2.07,4.37
"Magnesium, Mg",mg,23,49
"Phosphorus, P",mg,181,382
"Potassium, K",mg,238,502
"Sodium, Na",mg,674,1422
"Zinc, Zn",mg,2.67,5.63
Vitamins
"Vitamin C, total ascorbic acid",mg,0.7,1.5
"Thiamin",mg,0.174,0.367
"Riboflavin",mg,0.348,0.734
"Niacin",mg,4.233,8.932
"Vitamin B-6",mg,0.242,0.511
"Vitamin B-12",µg,1.25,2.64
Lipids
"Fatty acids, total saturated",g,6.126,12.926
"Fatty acids, total monounsaturated",g,5.427,11.451
"Fatty acids, total polyunsaturated",g,0.672,1.418
"Fatty acids, total trans",g,0.772,1.629
"Cholesterol",mg,50,106
Amino Acids
Other
