Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 12:32 EST
"Nutrient data for: 21014, Fast foods, croissant, with egg, cheese, and sausage"
Nutrient,Unit,1Value per 100 g,"1 sandwich = 171.0g",
Proximates
"Water",g,48.10,82.25
"Energy",kcal,308,527
"Protein",g,12.09,20.67
"Total lipid (fat)",g,21.78,37.24
"Carbohydrate, by difference",g,15.90,27.19
"Fiber, total dietary",g,1.8,3.1
"Sugars, total",g,3.12,5.34
Minerals
"Calcium, Ca",mg,90,154
"Iron, Fe",mg,1.65,2.82
"Magnesium, Mg",mg,17,29
"Phosphorus, P",mg,138,236
"Potassium, K",mg,158,270
"Sodium, Na",mg,577,987
"Zinc, Zn",mg,1.14,1.95
Vitamins
"Vitamin C, total ascorbic acid",mg,0.1,0.2
"Thiamin",mg,0.237,0.405
"Riboflavin",mg,0.370,0.633
"Niacin",mg,2.754,4.709
"Vitamin B-6",mg,0.159,0.272
"Folate, DFE",µg,74,127
"Vitamin B-12",µg,0.51,0.87
"Vitamin A, RAE",µg,173,296
"Vitamin A, IU",IU,622,1064
"Vitamin E (alpha-tocopherol)",mg,1.54,2.63
"Vitamin D (D2 + D3)",µg,0.7,1.2
"Vitamin D",IU,27,46
"Vitamin K (phylloquinone)",µg,1.8,3.1
Lipids
"Fatty acids, total saturated",g,8.342,14.265
"Fatty acids, total monounsaturated",g,7.838,13.403
"Fatty acids, total polyunsaturated",g,4.212,7.203
"Fatty acids, total trans",g,0.150,0.257
"Cholesterol",mg,123,210
Amino Acids
Other
"Caffeine",mg,0,0
