Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:04 EST
"Nutrient data for: 15105, Fish, sturgeon, mixed species, cooked, dry heat"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 cup, cooked = 136.0g","1 piece (4-1/2"" x 2-1/8"" x 7/8"") = 145.0g","1 oz, boneless = 28.35g","1 cubic inch, boneless = 17.0g",
Proximates
"Water",g,69.94,59.45,95.12,101.41,19.83,11.89
"Energy",kcal,135,115,184,196,38,23
"Protein",g,20.70,17.59,28.15,30.02,5.87,3.52
"Total lipid (fat)",g,5.18,4.40,7.04,7.51,1.47,0.88
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,17,14,23,25,5,3
"Iron, Fe",mg,0.90,0.77,1.22,1.30,0.26,0.15
"Magnesium, Mg",mg,45,38,61,65,13,8
"Phosphorus, P",mg,271,230,369,393,77,46
"Potassium, K",mg,364,309,495,528,103,62
"Sodium, Na",mg,69,59,94,100,20,12
"Zinc, Zn",mg,0.54,0.46,0.73,0.78,0.15,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.080,0.068,0.109,0.116,0.023,0.014
"Riboflavin",mg,0.090,0.076,0.122,0.130,0.026,0.015
"Niacin",mg,10.100,8.585,13.736,14.645,2.863,1.717
"Vitamin B-6",mg,0.230,0.196,0.313,0.334,0.065,0.039
"Folate, DFE",µg,17,14,23,25,5,3
"Vitamin B-12",µg,2.50,2.12,3.40,3.62,0.71,0.42
"Vitamin A, RAE",µg,263,224,358,381,75,45
"Vitamin A, IU",IU,875,744,1190,1269,248,149
"Vitamin E (alpha-tocopherol)",mg,0.63,0.54,0.86,0.91,0.18,0.11
"Vitamin D (D2 + D3)",µg,12.9,11.0,17.5,18.7,3.7,2.2
"Vitamin D",IU,515,438,700,747,146,88
"Vitamin K (phylloquinone)",µg,0.1,0.1,0.1,0.1,0.0,0.0
Lipids
"Fatty acids, total saturated",g,1.173,0.997,1.595,1.701,0.333,0.199
"Fatty acids, total monounsaturated",g,2.486,2.113,3.381,3.605,0.705,0.423
"Fatty acids, total polyunsaturated",g,0.885,0.752,1.204,1.283,0.251,0.150
"Cholesterol",mg,77,65,105,112,22,13
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
