Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:06 EST
"Nutrient data for: 09013, Apples, dried, sulfured, stewed, with added sugar"
Nutrient,Unit,1Value per 100 g,"1 cup = 280.0g",
Proximates
"Water",g,78.76,220.53
"Energy",kcal,83,232
"Protein",g,0.20,0.56
"Total lipid (fat)",g,0.07,0.20
"Carbohydrate, by difference",g,20.73,58.04
"Fiber, total dietary",g,1.9,5.3
Minerals
"Calcium, Ca",mg,3,8
"Iron, Fe",mg,0.31,0.87
"Magnesium, Mg",mg,3,8
"Phosphorus, P",mg,8,22
"Potassium, K",mg,98,274
"Sodium, Na",mg,19,53
"Zinc, Zn",mg,0.04,0.11
Vitamins
"Vitamin C, total ascorbic acid",mg,0.9,2.5
"Thiamin",mg,0.006,0.017
"Riboflavin",mg,0.018,0.050
"Niacin",mg,0.121,0.339
"Vitamin B-6",mg,0.047,0.132
"Folate, DFE",µg,0,0
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,1,3
"Vitamin A, IU",IU,16,45
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.011,0.031
"Fatty acids, total monounsaturated",g,0.003,0.008
"Fatty acids, total polyunsaturated",g,0.020,0.056
"Cholesterol",mg,0,0
Amino Acids
Other
