Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:07 EST
"Nutrient data for: 09057, Boysenberries, frozen, unsweetened"
Nutrient,Unit,1Value per 100 g,"1 cup, unthawed = 132.0g","1 package (10 oz) = 284.0g",
Proximates
"Water",g,85.90,113.39,243.96
"Energy",kcal,50,66,142
"Protein",g,1.10,1.45,3.12
"Total lipid (fat)",g,0.26,0.34,0.74
"Carbohydrate, by difference",g,12.19,16.09,34.62
"Fiber, total dietary",g,5.3,7.0,15.1
"Sugars, total",g,6.89,9.09,19.57
Minerals
"Calcium, Ca",mg,27,36,77
"Iron, Fe",mg,0.85,1.12,2.41
"Magnesium, Mg",mg,16,21,45
"Phosphorus, P",mg,27,36,77
"Potassium, K",mg,139,183,395
"Sodium, Na",mg,1,1,3
"Zinc, Zn",mg,0.22,0.29,0.62
Vitamins
"Vitamin C, total ascorbic acid",mg,3.1,4.1,8.8
"Thiamin",mg,0.053,0.070,0.151
"Riboflavin",mg,0.037,0.049,0.105
"Niacin",mg,0.767,1.012,2.178
"Vitamin B-6",mg,0.056,0.074,0.159
"Folate, DFE",µg,63,83,179
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,3,4,9
"Vitamin A, IU",IU,67,88,190
"Vitamin E (alpha-tocopherol)",mg,0.87,1.15,2.47
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,7.8,10.3,22.2
Lipids
"Fatty acids, total saturated",g,0.009,0.012,0.026
"Fatty acids, total monounsaturated",g,0.025,0.033,0.071
"Fatty acids, total polyunsaturated",g,0.148,0.195,0.420
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
