Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:11 EST
"Nutrient data for: 09328, Maraschino cherries, canned, drained"
Nutrient,Unit,1Value per 100 g,"1 cherry (NLEA serving) = 5.0g",
Proximates
"Water",g,57.27,2.86
"Energy",kcal,165,8
"Protein",g,0.22,0.01
"Total lipid (fat)",g,0.21,0.01
"Carbohydrate, by difference",g,41.97,2.10
"Fiber, total dietary",g,3.2,0.2
"Sugars, total",g,38.77,1.94
Minerals
"Calcium, Ca",mg,54,3
"Iron, Fe",mg,0.43,0.02
"Magnesium, Mg",mg,4,0
"Phosphorus, P",mg,3,0
"Potassium, K",mg,21,1
"Sodium, Na",mg,4,0
"Zinc, Zn",mg,0.26,0.01
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.000,0.000
"Riboflavin",mg,0.000,0.000
"Niacin",mg,0.004,0.000
"Vitamin B-6",mg,0.005,0.000
"Folate, DFE",µg,0,0
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,2,0
"Vitamin A, IU",IU,45,2
"Vitamin E (alpha-tocopherol)",mg,0.05,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,1.5,0.1
Lipids
"Fatty acids, total saturated",g,0.039,0.002
"Fatty acids, total monounsaturated",g,0.049,0.002
"Fatty acids, total polyunsaturated",g,0.055,0.003
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
