Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:11 EST
"Nutrient data for: 09450, Naranjilla (lulo) pulp, frozen, unsweetened"
Nutrient,Unit,1Value per 100 g,"1 cup thawed = 120.0g",
Proximates
"Water",g,93.05,111.66
"Energy",kcal,25,30
"Protein",g,0.44,0.53
"Total lipid (fat)",g,0.22,0.26
"Carbohydrate, by difference",g,5.90,7.08
"Fiber, total dietary",g,1.1,1.3
"Sugars, total",g,3.74,4.49
Minerals
"Calcium, Ca",mg,8,10
"Iron, Fe",mg,0.35,0.42
"Magnesium, Mg",mg,11,13
"Phosphorus, P",mg,12,14
"Potassium, K",mg,200,240
"Sodium, Na",mg,4,5
"Zinc, Zn",mg,0.10,0.12
Vitamins
"Vitamin C, total ascorbic acid",mg,3.2,3.8
"Thiamin",mg,0.045,0.054
"Riboflavin",mg,0.000,0.000
"Niacin",mg,1.450,1.740
"Vitamin B-6",mg,0.107,0.128
"Folate, DFE",µg,3,4
"Vitamin A, RAE",µg,28,34
"Vitamin A, IU",IU,568,682
"Vitamin E (alpha-tocopherol)",mg,0.75,0.90
"Vitamin K (phylloquinone)",µg,14.6,17.5
Lipids
"Fatty acids, total trans",g,0.000,0.000
Amino Acids
Other
Footnotes
(a)"Mean value contains data based on the analysis of 5-methyltetrahydrofolate, 10-Formyl folic acid, and 5-Formyltetrahydrofolic acid."
