Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:56 EST
"Nutrient data for: 17325, Lamb, Australian, imported, fresh, shoulder, arm, separable lean only,   trimmed to 1/8"" fat, cooked, braised"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g",
Proximates
"Water",g,56.98,48.43
"Energy",kcal,238,202
"Protein",g,34.17,29.04
"Total lipid (fat)",g,10.23,8.70
"Carbohydrate, by difference",g,0.00,0.00
Minerals
"Calcium, Ca",mg,27,23
"Iron, Fe",mg,2.71,2.30
"Magnesium, Mg",mg,25,21
"Phosphorus, P",mg,221,188
"Potassium, K",mg,287,244
"Sodium, Na",mg,78,66
"Zinc, Zn",mg,7.78,6.61
Vitamins
"Thiamin",mg,0.100,0.085
"Riboflavin",mg,0.290,0.246
"Niacin",mg,4.695,3.991
"Vitamin B-6",mg,0.211,0.179
"Vitamin B-12",µg,3.56,3.03
Lipids
"Fatty acids, total saturated",g,4.173,3.547
"Fatty acids, total monounsaturated",g,4.160,3.536
"Fatty acids, total polyunsaturated",g,0.499,0.424
"Cholesterol",mg,111,94
Amino Acids
Other
