Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:57 EST
"Nutrient data for: 17010, Lamb, domestic, foreshank, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised"
Nutrient,Unit,1Value per 100 g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse) = 128.0g","3.0 oz = 85.0g",
Proximates
"Water",g,61.79,79.09,52.52
"Energy",kcal,187,239,159
"Protein",g,31.01,39.69,26.36
"Total lipid (fat)",g,6.02,7.71,5.12
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,20,26,17
"Iron, Fe",mg,2.27,2.91,1.93
"Magnesium, Mg",mg,23,29,20
"Phosphorus, P",mg,175,224,149
"Potassium, K",mg,267,342,227
"Sodium, Na",mg,74,95,63
"Zinc, Zn",mg,8.66,11.08,7.36
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.040,0.051,0.034
"Riboflavin",mg,0.190,0.243,0.161
"Niacin",mg,5.070,6.490,4.310
"Vitamin B-6",mg,0.110,0.141,0.093
"Folate, DFE",µg,19,24,16
"Vitamin B-12",µg,2.26,2.89,1.92
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.20,0.26,0.17
Lipids
"Fatty acids, total saturated",g,2.150,2.752,1.827
"Fatty acids, total monounsaturated",g,2.640,3.379,2.244
"Fatty acids, total polyunsaturated",g,0.390,0.499,0.331
"Cholesterol",mg,104,133,88
Amino Acids
Other
