Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:06 EST
"Nutrient data for: 17089, Veal, composite of trimmed retail cuts, separable lean and fat, cooked"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse) = 209.0g",
Proximates
"Water",g,57.08,48.52,119.30
"Energy",kcal,231,196,483
"Protein",g,30.10,25.59,62.91
"Total lipid (fat)",g,11.39,9.68,23.81
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,22,19,46
"Iron, Fe",mg,1.15,0.98,2.40
"Magnesium, Mg",mg,26,22,54
"Phosphorus, P",mg,239,203,500
"Potassium, K",mg,325,276,679
"Sodium, Na",mg,87,74,182
"Zinc, Zn",mg,4.76,4.05,9.95
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.060,0.051,0.125
"Riboflavin",mg,0.320,0.272,0.669
"Niacin",mg,7.970,6.774,16.657
"Vitamin B-6",mg,0.310,0.264,0.648
"Folate, DFE",µg,15,13,31
"Vitamin B-12",µg,1.57,1.33,3.28
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.40,0.34,0.84
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,6.6,5.6,13.8
Lipids
"Fatty acids, total saturated",g,4.280,3.638,8.945
"Fatty acids, total monounsaturated",g,4.400,3.740,9.196
"Fatty acids, total polyunsaturated",g,0.800,0.680,1.672
"Cholesterol",mg,114,97,238
Amino Acids
Other
"Caffeine",mg,0,0,0
