Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:10 EST
"Nutrient data for: 17203, Veal, variety meats and by-products, liver, cooked, braised"
Nutrient,Unit,1Value per 100 g,"1 slice = 80.0g",
Proximates
"Water",g,59.86,47.89
"Energy",kcal,192,154
"Protein",g,28.42,22.74
"Total lipid (fat)",g,6.26,5.01
"Carbohydrate, by difference",g,3.77,3.02
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,6,5
"Iron, Fe",mg,5.11,4.09
"Magnesium, Mg",mg,20,16
"Phosphorus, P",mg,460,368
"Potassium, K",mg,329,263
"Sodium, Na",mg,78,62
"Zinc, Zn",mg,11.23,8.98
Vitamins
"Vitamin C, total ascorbic acid",mg,1.1,0.9
"Thiamin",mg,0.182,0.146
"Riboflavin",mg,2.860,2.288
"Niacin",mg,13.150,10.520
"Vitamin B-6",mg,0.918,0.734
"Folate, DFE",µg,331,265
"Vitamin B-12",µg,84.60,67.68
"Vitamin A, RAE",µg,21145,16916
"Vitamin A, IU",IU,70564,56451
"Vitamin E (alpha-tocopherol)",mg,0.68,0.54
"Vitamin K (phylloquinone)",µg,1.4,1.1
Lipids
"Fatty acids, total saturated",g,1.986,1.589
"Fatty acids, total monounsaturated",g,1.146,0.917
"Fatty acids, total polyunsaturated",g,1.069,0.855
"Fatty acids, total trans",g,0.305,0.244
"Cholesterol",mg,511,409
Amino Acids
Other
"Caffeine",mg,0,0
