Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:58 EST
"Nutrient data for: 16112, Miso"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 17.0g","1 cup = 275.0g",
Proximates
"Water",g,43.02,7.31,118.31
"Energy",kcal,198,34,544
"Protein",g,12.79,2.17,35.17
"Total lipid (fat)",g,6.01,1.02,16.53
"Carbohydrate, by difference",g,25.37,4.31,69.77
"Fiber, total dietary",g,5.4,0.9,14.8
"Sugars, total",g,6.20,1.05,17.05
Minerals
"Calcium, Ca",mg,57,10,157
"Iron, Fe",mg,2.49,0.42,6.85
"Magnesium, Mg",mg,48,8,132
"Phosphorus, P",mg,159,27,437
"Potassium, K",mg,210,36,578
"Sodium, Na",mg,3728,634,10252
"Zinc, Zn",mg,2.56,0.44,7.04
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.098,0.017,0.270
"Riboflavin",mg,0.233,0.040,0.641
"Niacin",mg,0.906,0.154,2.492
"Vitamin B-6",mg,0.199,0.034,0.547
"Folate, DFE",µg,19,3,52
"Vitamin B-12",µg,0.08,0.01,0.22
"Vitamin A, RAE",µg,4,1,11
"Vitamin A, IU",IU,87,15,239
"Vitamin E (alpha-tocopherol)",mg,0.01,0.00,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,29.3,5.0,80.6
Lipids
"Fatty acids, total saturated",g,1.025,0.174,2.819
"Fatty acids, total monounsaturated",g,1.118,0.190,3.075
"Fatty acids, total polyunsaturated",g,2.884,0.490,7.931
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
