Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:58 EST
"Nutrient data for: 16613, MORNINGSTAR FARMS Breakfast Sandwich Veggie Sausage Egg & Cheese English Muffin, frozen, unprepared"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,54.80,
"Energy",kcal,205,
"Protein",g,14.30,
"Total lipid (fat)",g,9.40,
"Carbohydrate, by difference",g,18.70,
"Fiber, total dietary",g,3.8,
"Sugars, total",g,1.10,
Minerals
"Calcium, Ca",mg,220,
"Iron, Fe",mg,2.50,
"Phosphorus, P",mg,306,
"Potassium, K",mg,212,
"Sodium, Na",mg,639,
"Zinc, Zn",mg,0.60,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.110,
"Riboflavin",mg,0.100,
"Niacin",mg,1.000,
"Vitamin B-6",mg,0.040,
"Vitamin B-12",µg,0.10,
"Vitamin A, IU",IU,0,
"Vitamin D",IU,10,
Lipids
"Fatty acids, total saturated",g,3.100,
"Fatty acids, total monounsaturated",g,2.600,
"Fatty acids, total polyunsaturated",g,2.900,
"Fatty acids, total trans",g,0.100,
"Cholesterol",mg,67,
Amino Acids
Other
