Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:58 EST
"Nutrient data for: 16607, MORNINGSTAR FARMS Buffalo Chik Patties, frozen, unprepared"
Nutrient,Unit,1Value per 100 g,"1 patty = 71.0g",
Proximates
"Water",g,48.80,34.65
"Energy",kcal,255,181
"Protein",g,12.10,8.59
"Total lipid (fat)",g,12.80,9.09
"Carbohydrate, by difference",g,25.20,17.89
"Fiber, total dietary",g,5.1,3.6
"Sugars, total",g,3.00,2.13
Minerals
"Calcium, Ca",mg,57,40
"Iron, Fe",mg,3.30,2.34
"Phosphorus, P",mg,97,69
"Potassium, K",mg,220,156
"Sodium, Na",mg,757,537
"Zinc, Zn",mg,0.40,0.28
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.320,0.227
"Riboflavin",mg,0.100,0.071
"Niacin",mg,2.800,1.988
"Vitamin B-6",mg,0.170,0.121
"Folate, DFE",µg,0,0
"Vitamin B-12",µg,2.10,1.49
"Vitamin A, IU",IU,0,0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,1.900,1.349
"Fatty acids, total monounsaturated",g,3.600,2.556
"Fatty acids, total polyunsaturated",g,6.600,4.686
"Fatty acids, total trans",g,0.100,0.071
"Cholesterol",mg,1,1
Amino Acids
Other
