Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:59 EST
"Nutrient data for: 16099, Peanut flour, defatted"
Nutrient,Unit,1Value per 100 g,"1 cup = 60.0g","1 oz = 28.35g",
Proximates
"Water",g,7.80,4.68,2.21
"Energy",kcal,327,196,93
"Protein",g,52.20,31.32,14.80
"Total lipid (fat)",g,0.55,0.33,0.16
"Carbohydrate, by difference",g,34.70,20.82,9.84
"Fiber, total dietary",g,15.8,9.5,4.5
"Sugars, total",g,8.22,4.93,2.33
Minerals
"Calcium, Ca",mg,140,84,40
"Iron, Fe",mg,2.10,1.26,0.60
"Magnesium, Mg",mg,370,222,105
"Phosphorus, P",mg,760,456,215
"Potassium, K",mg,1290,774,366
"Sodium, Na",mg,180,108,51
"Zinc, Zn",mg,5.10,3.06,1.45
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.700,0.420,0.198
"Riboflavin",mg,0.480,0.288,0.136
"Niacin",mg,27.000,16.200,7.655
"Vitamin B-6",mg,0.504,0.302,0.143
"Folate, DFE",µg,248,149,70
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.05,0.03,0.01
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.063,0.038,0.018
"Fatty acids, total monounsaturated",g,0.225,0.135,0.064
"Fatty acids, total polyunsaturated",g,0.143,0.086,0.041
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
