Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:02 EST
"Nutrient data for: 16512, WORTHINGTON Diced Chik, canned, unprepared"
Nutrient,Unit,1Value per 100 g,"0.25 cup = 55.0g",
Proximates
"Water",g,79.00,43.45
"Energy",kcal,80,44
"Protein",g,14.70,8.09
"Total lipid (fat)",g,0.70,0.39
"Carbohydrate, by difference",g,3.70,2.04
"Fiber, total dietary",g,1.4,0.8
"Sugars, total",g,0.10,0.06
Minerals
"Calcium, Ca",mg,55,30
"Iron, Fe",mg,2.00,1.10
"Potassium, K",mg,216,119
"Sodium, Na",mg,344,189
"Zinc, Zn",mg,0.70,0.39
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.100,0.055
"Riboflavin",mg,0.200,0.110
"Niacin",mg,7.300,4.015
"Vitamin B-6",mg,0.100,0.055
"Vitamin B-12",µg,0.40,0.22
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,1,1
Amino Acids
Other
