Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:21 EST
"Nutrient data for: 22911, Chili, no beans, canned entree"
Nutrient,Unit,1Value per 100 g,"1 cup = 240.0g",
Proximates
"Water",g,77.68,186.43
"Energy",kcal,118,283
"Protein",g,7.53,18.07
"Total lipid (fat)",g,7.10,17.04
"Carbohydrate, by difference",g,6.10,14.64
"Fiber, total dietary",g,0.5,1.2
"Sugars, total",g,1.10,2.64
Minerals
"Calcium, Ca",mg,30,72
"Iron, Fe",mg,2.01,4.82
"Magnesium, Mg",mg,20,48
"Phosphorus, P",mg,77,185
"Potassium, K",mg,185,444
"Sodium, Na",mg,411,986
"Zinc, Zn",mg,1.12,2.69
Vitamins
"Vitamin C, total ascorbic acid",mg,1.8,4.3
"Thiamin",mg,0.031,0.074
"Riboflavin",mg,0.111,0.266
"Niacin",mg,1.245,2.988
"Vitamin B-6",mg,0.129,0.310
"Folate, DFE",µg,8,19
"Vitamin B-12",µg,1.02,2.45
"Vitamin A, RAE",µg,14,34
"Vitamin A, IU",IU,271,650
"Vitamin E (alpha-tocopherol)",mg,0.59,1.42
"Vitamin D (D2 + D3)",µg,0.1,0.2
"Vitamin D",IU,3,7
"Vitamin K (phylloquinone)",µg,2.2,5.3
Lipids
"Fatty acids, total saturated",g,2.255,5.412
"Fatty acids, total monounsaturated",g,2.469,5.926
"Fatty acids, total polyunsaturated",g,0.501,1.202
"Cholesterol",mg,21,50
Amino Acids
Other
"Caffeine",mg,0,0
