Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:22 EST
"Nutrient data for: 22979, KASHI Black Bean Mango, frozen, unprepared"
Nutrient,Unit,1Value per 100 g,"1 entree = 283.0g",
Proximates
"Water",g,75.00,212.25
"Energy",kcal,115,325
"Protein",g,3.00,8.49
"Total lipid (fat)",g,3.00,8.49
"Carbohydrate, by difference",g,18.00,50.94
"Fiber, total dietary",g,6.0,17.0
"Sugars, total",g,3.00,8.49
Minerals
"Calcium, Ca",mg,29,82
"Iron, Fe",mg,0.60,1.70
"Phosphorus, P",mg,67,190
"Potassium, K",mg,127,359
"Sodium, Na",mg,134,379
"Zinc, Zn",mg,6.00,16.98
Vitamins
"Vitamin C, total ascorbic acid",mg,21.0,59.4
"Vitamin A, RAE",µg,795,2250
"Vitamin A, IU",IU,2650,7500
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,2.000,5.660
"Fatty acids, total polyunsaturated",g,1.000,2.830
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,1,3
Amino Acids
Other
