Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:08 EST
"Nutrient data for: 12115, Nuts, coconut cream, raw (liquid expressed from grated meat)"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 15.0g","1 cup = 240.0g",
Proximates
"Water",g,53.90,8.09,129.36
"Energy",kcal,330,50,792
"Protein",g,3.63,0.54,8.71
"Total lipid (fat)",g,34.68,5.20,83.23
"Carbohydrate, by difference",g,6.65,1.00,15.96
"Fiber, total dietary",g,2.2,0.3,5.3
Minerals
"Calcium, Ca",mg,11,2,26
"Iron, Fe",mg,2.28,0.34,5.47
"Magnesium, Mg",mg,28,4,67
"Phosphorus, P",mg,122,18,293
"Potassium, K",mg,325,49,780
"Sodium, Na",mg,4,1,10
"Zinc, Zn",mg,0.96,0.14,2.30
Vitamins
"Vitamin C, total ascorbic acid",mg,2.8,0.4,6.7
"Thiamin",mg,0.030,0.004,0.072
"Riboflavin",mg,0.000,0.000,0.000
"Niacin",mg,0.890,0.134,2.136
"Vitamin B-6",mg,0.047,0.007,0.113
"Folate, DFE",µg,23,3,55
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,30.753,4.613,73.807
"Fatty acids, total monounsaturated",g,1.475,0.221,3.540
"Fatty acids, total polyunsaturated",g,0.379,0.057,0.910
"Cholesterol",mg,0,0,0
Amino Acids
Other
