Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:37 EST
"Nutrient data for: 10906, Pork, cured, ham and water product, slice, bone-in, separable lean and fat, unheated"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 lb = 453.6g",
Proximates
"Water",g,71.07,20.15,322.37
"Energy",kcal,149,42,676
"Protein",g,13.69,3.88,62.10
"Total lipid (fat)",g,9.29,2.63,42.14
"Carbohydrate, by difference",g,2.72,0.77,12.34
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.85,0.24,3.86
Minerals
"Calcium, Ca",mg,8,2,36
"Iron, Fe",mg,1.39,0.39,6.31
"Magnesium, Mg",mg,14,4,64
"Phosphorus, P",mg,213,60,966
"Potassium, K",mg,205,58,930
"Sodium, Na",mg,1099,312,4985
"Zinc, Zn",mg,1.60,0.45,7.26
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.402,0.114,1.823
"Riboflavin",mg,0.160,0.045,0.726
"Niacin",mg,4.177,1.184,18.947
"Vitamin B-6",mg,0.342,0.097,1.551
"Folate, DFE",µg,1,0,5
"Vitamin B-12",µg,0.46,0.13,2.09
"Vitamin A, RAE",µg,10,3,45
"Vitamin A, IU",IU,33,9,150
"Vitamin E (alpha-tocopherol)",mg,0.18,0.05,0.82
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,3.076,0.872,13.953
"Fatty acids, total monounsaturated",g,4.212,1.194,19.106
"Fatty acids, total polyunsaturated",g,1.250,0.354,5.670
"Fatty acids, total trans",g,0.072,0.020,0.327
"Cholesterol",mg,50,14,227
Amino Acids
Other
"Caffeine",mg,0,0,0
