Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:40 EST
"Nutrient data for: 10917, Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted"
Nutrient,Unit,1Value per 100 g,"1 serving (3 oz) = 85.0g","1 roast = 1867.0g",
Proximates
"Water",g,71.72,60.96,1339.01
"Energy",kcal,126,107,2352
"Protein",g,17.77,15.10,331.77
"Total lipid (fat)",g,5.48,4.66,102.31
"Carbohydrate, by difference",g,1.54,1.31,28.75
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,1.54,1.31,28.75
Minerals
"Calcium, Ca",mg,9,8,168
"Iron, Fe",mg,0.82,0.70,15.31
"Magnesium, Mg",mg,19,16,355
"Phosphorus, P",mg,268,228,5004
"Potassium, K",mg,313,266,5844
"Sodium, Na",mg,1181,1004,22049
"Zinc, Zn",mg,1.80,1.53,33.61
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.360,0.306,6.721
"Riboflavin",mg,0.181,0.154,3.379
"Niacin",mg,5.734,4.874,107.054
"Vitamin B-6",mg,0.390,0.331,7.281
"Folate, DFE",µg,1,1,19
"Vitamin B-12",µg,0.40,0.34,7.47
"Vitamin A, RAE",µg,13,11,243
"Vitamin A, IU",IU,44,37,821
"Vitamin E (alpha-tocopherol)",mg,0.21,0.18,3.92
"Vitamin D (D2 + D3)",µg,0.7,0.6,13.1
"Vitamin D",IU,29,25,541
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,1.787,1.519,33.363
"Fatty acids, total monounsaturated",g,2.490,2.117,46.488
"Fatty acids, total polyunsaturated",g,0.679,0.577,12.677
"Fatty acids, total trans",g,0.009,0.008,0.168
"Cholesterol",mg,54,46,1008
Amino Acids
Other
"Caffeine",mg,0,0,0
