Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:42 EST
"Nutrient data for: 10013, Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted"
Nutrient,Unit,1Value per 100 g,"1 cup, diced = 135.0g","3.0 oz = 85.0g",
Proximates
"Water",g,61.92,83.59,52.63
"Energy",kcal,209,282,178
"Protein",g,27.03,36.49,22.98
"Total lipid (fat)",g,10.32,13.93,8.77
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,16,22,14
"Iron, Fe",mg,0.90,1.22,0.77
"Magnesium, Mg",mg,25,34,21
"Phosphorus, P",mg,255,344,217
"Potassium, K",mg,416,562,354
"Sodium, Na",mg,77,104,65
"Zinc, Zn",mg,2.31,3.12,1.96
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.489,0.660,0.416
"Riboflavin",mg,0.379,0.512,0.322
"Niacin",mg,7.444,10.049,6.327
"Vitamin B-6",mg,0.501,0.676,0.426
"Folate, DFE",µg,0,0,0
"Vitamin B-12",µg,0.67,0.90,0.57
"Vitamin A, RAE",µg,3,4,3
"Vitamin A, IU",IU,10,14,8
"Vitamin E (alpha-tocopherol)",mg,0.27,0.36,0.23
"Vitamin D (D2 + D3)",µg,0.4,0.5,0.3
"Vitamin D",IU,17,23,14
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,3.369,4.548,2.864
"Fatty acids, total monounsaturated",g,4.322,5.835,3.674
"Fatty acids, total polyunsaturated",g,2.198,2.967,1.868
"Fatty acids, total trans",g,0.087,0.117,0.074
"Cholesterol",mg,85,115,72
Amino Acids
Other
"Caffeine",mg,0,0,0
