Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:48 EST
"Nutrient data for: 10085, Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, cooked, braised"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 249.0g",
Proximates
"Water",g,58.00,49.30,144.42
"Energy",kcal,233,198,580
"Protein",g,26.57,22.58,66.16
"Total lipid (fat)",g,13.20,11.22,32.87
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,25,21,62
"Iron, Fe",mg,1.85,1.57,4.61
"Magnesium, Mg",mg,24,20,60
"Phosphorus, P",mg,217,184,540
"Potassium, K",mg,318,270,792
"Sodium, Na",mg,60,51,149
"Zinc, Zn",mg,5.20,4.42,12.95
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.526,0.447,1.310
"Riboflavin",mg,0.388,0.330,0.966
"Niacin",mg,3.935,3.345,9.798
"Vitamin B-6",mg,0.470,0.399,1.170
"Folate, DFE",µg,0,0,0
"Vitamin B-12",µg,0.90,0.77,2.24
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.11,0.09,0.27
"Vitamin D (D2 + D3)",µg,1.1,0.9,2.7
"Vitamin D",IU,45,38,112
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,5.023,4.270,12.507
"Fatty acids, total monounsaturated",g,6.199,5.269,15.436
"Fatty acids, total polyunsaturated",g,1.402,1.192,3.491
"Fatty acids, total trans",g,0.102,0.087,0.254
"Cholesterol",mg,100,85,249
Amino Acids
Other
"Caffeine",mg,0,0,0
