Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:49 EST
"Nutrient data for: 10072, Pork, fresh, shoulder, whole, separable lean only, raw"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 lb = 453.6g",
Proximates
"Water",g,72.63,20.59,329.45
"Energy",kcal,148,42,671
"Protein",g,19.55,5.54,88.68
"Total lipid (fat)",g,7.14,2.02,32.39
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,14,4,64
"Iron, Fe",mg,1.22,0.35,5.53
"Magnesium, Mg",mg,21,6,95
"Phosphorus, P",mg,202,57,916
"Potassium, K",mg,341,97,1547
"Sodium, Na",mg,76,22,345
"Zinc, Zn",mg,3.14,0.89,14.24
Vitamins
"Vitamin C, total ascorbic acid",mg,0.8,0.2,3.6
"Thiamin",mg,0.884,0.251,4.010
"Riboflavin",mg,0.314,0.089,1.424
"Niacin",mg,4.275,1.212,19.391
"Vitamin B-6",mg,0.415,0.118,1.882
"Folate, DFE",µg,5,1,23
"Vitamin B-12",µg,0.84,0.24,3.81
"Vitamin A, RAE",µg,2,1,9
"Vitamin A, IU",IU,6,2,27
Lipids
"Fatty acids, total saturated",g,2.470,0.700,11.204
"Fatty acids, total monounsaturated",g,3.230,0.916,14.651
"Fatty acids, total polyunsaturated",g,0.770,0.218,3.493
"Cholesterol",mg,67,19,304
Amino Acids
Other
