Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:50 EST
"Nutrient data for: 10975, Pork, ground, 84% lean / 16% fat, cooked, crumbles"
Nutrient,Unit,1Value per 100 g,"3.0 oz grilled patties = 85.0g",
Proximates
"Water",g,51.35,43.65
"Energy",kcal,289,246
"Protein",g,26.69,22.69
"Total lipid (fat)",g,20.04,17.03
"Carbohydrate, by difference",g,0.58,0.49
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,20,17
"Iron, Fe",mg,1.10,0.94
"Magnesium, Mg",mg,23,20
"Phosphorus, P",mg,226,192
"Potassium, K",mg,354,301
"Sodium, Na",mg,89,76
"Zinc, Zn",mg,2.57,2.18
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.421,0.358
"Riboflavin",mg,0.486,0.413
"Niacin",mg,9.286,7.893
"Vitamin B-6",mg,0.613,0.521
"Folate, DFE",µg,1,1
"Vitamin B-12",µg,1.02,0.87
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.31,0.26
"Vitamin D (D2 + D3)",µg,0.5,0.4
"Vitamin D",IU,20,17
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,6.631,5.636
"Fatty acids, total monounsaturated",g,9.021,7.668
"Fatty acids, total polyunsaturated",g,2.549,2.167
"Fatty acids, total trans",g,0.150,0.128
"Cholesterol",mg,89,76
Amino Acids
Other
"Caffeine",mg,0,0
