Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:24 EST
"Nutrient data for: 05065, Chicken, broilers or fryers, breast, meat only, cooked, stewed"
Nutrient,Unit,1Value per 100 g,"1 cup, chopped or diced = 140.0g","1 unit (yield from 1 lb ready-to-cook chicken) = 57.0g","0.5 breast, bone and skin removed = 95.0g",
Proximates
"Water",g,68.27,95.58,38.91,64.86
"Energy",kcal,151,211,86,143
"Protein",g,28.98,40.57,16.52,27.53
"Total lipid (fat)",g,3.03,4.24,1.73,2.88
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,13,18,7,12
"Iron, Fe",mg,0.88,1.23,0.50,0.84
"Magnesium, Mg",mg,24,34,14,23
"Phosphorus, P",mg,165,231,94,157
"Potassium, K",mg,187,262,107,178
"Sodium, Na",mg,63,88,36,60
"Zinc, Zn",mg,0.97,1.36,0.55,0.92
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.042,0.059,0.024,0.040
"Riboflavin",mg,0.119,0.167,0.068,0.113
"Niacin",mg,8.469,11.857,4.827,8.046
"Vitamin B-6",mg,0.330,0.462,0.188,0.314
"Folate, DFE",µg,3,4,2,3
"Vitamin B-12",µg,0.23,0.32,0.13,0.22
"Vitamin A, RAE",µg,6,8,3,6
"Vitamin A, IU",IU,19,27,11,18
"Vitamin E (alpha-tocopherol)",mg,0.27,0.38,0.15,0.26
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.1,0.1
"Vitamin D",IU,5,7,3,5
"Vitamin K (phylloquinone)",µg,0.2,0.3,0.1,0.2
Lipids
"Fatty acids, total saturated",g,0.850,1.190,0.484,0.807
"Fatty acids, total monounsaturated",g,1.030,1.442,0.587,0.979
"Fatty acids, total polyunsaturated",g,0.660,0.924,0.376,0.627
"Cholesterol",mg,77,108,44,73
Amino Acids
Other
"Caffeine",mg,0,0,0,0
