Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:31 EST
"Nutrient data for: 05092, Chicken, broilers or fryers, thigh, meat and skin, cooked, fried, batter"
Nutrient,Unit,1Value per 100 g,"1 unit (yield from 1 lb ready-to-cook chicken) = 52.0g","1 thigh, bone removed = 86.0g",
Proximates
"Water",g,51.50,26.78,44.29
"Energy",kcal,277,144,238
"Protein",g,21.61,11.24,18.58
"Total lipid (fat)",g,16.53,8.60,14.22
"Carbohydrate, by difference",g,9.08,4.72,7.81
"Fiber, total dietary",g,0.3,0.2,0.3
Minerals
"Calcium, Ca",mg,18,9,15
"Iron, Fe",mg,1.45,0.75,1.25
"Magnesium, Mg",mg,21,11,18
"Phosphorus, P",mg,155,81,133
"Potassium, K",mg,192,100,165
"Sodium, Na",mg,288,150,248
"Zinc, Zn",mg,2.04,1.06,1.75
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.119,0.062,0.102
"Riboflavin",mg,0.227,0.118,0.195
"Niacin",mg,5.715,2.972,4.915
"Vitamin B-6",mg,0.260,0.135,0.224
"Folate, DFE",µg,26,14,22
"Vitamin B-12",µg,0.28,0.15,0.24
"Vitamin A, RAE",µg,29,15,25
"Vitamin A, IU",IU,95,49,82
Lipids
"Fatty acids, total saturated",g,4.410,2.293,3.793
"Fatty acids, total monounsaturated",g,6.700,3.484,5.762
"Fatty acids, total polyunsaturated",g,3.900,2.028,3.354
"Cholesterol",mg,93,48,80
Amino Acids
Other
