Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:36 EST
"Nutrient data for: 05024, Chicken, gizzard, all classes, cooked, simmered"
Nutrient,Unit,1Value per 100 g,"1 cup chopped or dice = 145.0g",
Proximates
"Water",g,67.93,98.50
"Energy",kcal,154,223
"Protein",g,30.39,44.07
"Total lipid (fat)",g,2.68,3.89
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,17,25
"Iron, Fe",mg,3.19,4.63
"Magnesium, Mg",mg,3,4
"Phosphorus, P",mg,189,274
"Potassium, K",mg,179,260
"Sodium, Na",mg,56,81
"Zinc, Zn",mg,4.42,6.41
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.026,0.038
"Riboflavin",mg,0.210,0.304
"Niacin",mg,3.120,4.524
"Vitamin B-6",mg,0.071,0.103
"Folate, DFE",µg,5,7
"Vitamin B-12",µg,1.04,1.51
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.20,0.29
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.670,0.972
"Fatty acids, total monounsaturated",g,0.528,0.766
"Fatty acids, total polyunsaturated",g,0.353,0.512
"Fatty acids, total trans",g,0.130,0.189
"Cholesterol",mg,370,536
Amino Acids
Other
"Caffeine",mg,0,0
