Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:36 EST
"Nutrient data for: 05124, Chicken, stewing, meat and skin, cooked, stewed"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 unit (yield from 1 lb ready-to-cook chicken) = 178.0g","0.5 chicken, bone removed = 261.0g",
Proximates
"Water",g,53.07,45.11,94.46,138.51
"Energy",kcal,285,242,507,744
"Protein",g,26.88,22.85,47.85,70.16
"Total lipid (fat)",g,18.87,16.04,33.59,49.25
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,13,11,23,34
"Iron, Fe",mg,1.37,1.16,2.44,3.58
"Magnesium, Mg",mg,20,17,36,52
"Phosphorus, P",mg,180,153,320,470
"Potassium, K",mg,182,155,324,475
"Sodium, Na",mg,73,62,130,191
"Zinc, Zn",mg,1.77,1.50,3.15,4.62
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.094,0.080,0.167,0.245
"Riboflavin",mg,0.235,0.200,0.418,0.613
"Niacin",mg,5.798,4.928,10.320,15.133
"Vitamin B-6",mg,0.250,0.212,0.445,0.652
"Folate, DFE",µg,5,4,9,13
"Vitamin B-12",µg,0.23,0.20,0.41,0.60
"Vitamin A, RAE",µg,39,33,69,102
"Vitamin A, IU",IU,131,111,233,342
Lipids
"Fatty acids, total saturated",g,5.110,4.344,9.096,13.337
"Fatty acids, total monounsaturated",g,7.190,6.111,12.798,18.766
"Fatty acids, total polyunsaturated",g,4.230,3.595,7.529,11.040
"Cholesterol",mg,79,67,141,206
Amino Acids
Other
