Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:26 EST
"Nutrient data for: 36632, CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce"
Nutrient,Unit,1Value per 100 g,"1 serving = 537.0g",
Proximates
"Water",g,73.32,393.73
"Energy",kcal,122,655
"Protein",g,5.87,31.52
"Total lipid (fat)",g,3.92,21.05
"Carbohydrate, by difference",g,15.71,84.36
"Fiber, total dietary",g,1.5,8.1
"Sugars, total",g,1.96,10.53
Minerals
"Calcium, Ca",mg,15,81
"Iron, Fe",mg,0.89,4.78
"Magnesium, Mg",mg,15,81
"Phosphorus, P",mg,58,311
"Potassium, K",mg,187,1004
"Sodium, Na",mg,270,1450
"Zinc, Zn",mg,0.70,3.76
Vitamins
"Vitamin C, total ascorbic acid",mg,0.8,4.3
"Thiamin",mg,0.090,0.483
"Riboflavin",mg,0.150,0.805
"Niacin",mg,1.597,8.576
"Vitamin B-6",mg,0.121,0.650
"Vitamin B-12",µg,0.21,1.13
"Vitamin A, RAE",µg,14,75
"Vitamin A, IU",IU,272,1461
"Vitamin E (alpha-tocopherol)",mg,0.68,3.65
"Vitamin K (phylloquinone)",µg,3.3,17.7
Lipids
"Fatty acids, total saturated",g,1.100,5.907
"Fatty acids, total monounsaturated",g,1.731,9.295
"Fatty acids, total polyunsaturated",g,0.494,2.653
"Fatty acids, total trans",g,0.068,0.365
"Cholesterol",mg,9,48
Amino Acids
Other
