Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:27 EST
"Nutrient data for: 36621, Restaurant, Chinese, sweet and sour chicken"
Nutrient,Unit,1Value per 100 g,"1 order = 706.0g","3.0 pieces = 55.0g",
Proximates
"Water",g,52.17,368.32,28.69
"Energy",kcal,250,1765,138
"Protein",g,10.10,71.31,5.55
"Total lipid (fat)",g,12.65,89.31,6.96
"Carbohydrate, by difference",g,23.86,168.45,13.12
"Fiber, total dietary",g,1.0,7.1,0.6
"Sugars, total",g,11.47,80.98,6.31
Minerals
"Calcium, Ca",mg,45,318,25
"Iron, Fe",mg,2.12,14.97,1.17
"Magnesium, Mg",mg,15,106,8
"Phosphorus, P",mg,135,953,74
"Potassium, K",mg,158,1115,87
"Sodium, Na",mg,246,1737,135
"Zinc, Zn",mg,0.42,2.97,0.23
Vitamins
"Vitamin C, total ascorbic acid",mg,2.4,16.9,1.3
"Thiamin",mg,0.053,0.374,0.029
"Riboflavin",mg,0.043,0.304,0.024
"Niacin",mg,3.657,25.818,2.011
"Vitamin B-6",mg,0.257,1.814,0.141
"Folate, DFE",µg,15,106,8
"Vitamin B-12",µg,0.09,0.64,0.05
"Vitamin A, RAE",µg,18,127,10
"Vitamin A, IU",IU,317,2238,174
"Vitamin E (alpha-tocopherol)",mg,0.82,5.79,0.45
"Vitamin D (D2 + D3)",µg,0.2,1.4,0.1
"Vitamin D",IU,7,49,4
"Vitamin K (phylloquinone)",µg,22.5,158.8,12.4
Lipids
"Fatty acids, total saturated",g,1.933,13.647,1.063
"Fatty acids, total monounsaturated",g,2.717,19.182,1.494
"Fatty acids, total polyunsaturated",g,6.419,45.318,3.530
"Fatty acids, total trans",g,0.077,0.544,0.042
"Cholesterol",mg,27,191,15
Amino Acids
Other
"Caffeine",mg,0,0,0
Footnotes
(b)"Ingredients and amount of breading and sauce vary by restaurant."
(a)"Rice was not included in analyses."
