Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:27 EST
"Nutrient data for: 36016, Restaurant, family style, shrimp, breaded and fried"
Nutrient,Unit,1Value per 100 g,"1 serving = 169.0g",
Proximates
"Water",g,43.02,72.70
"Energy",kcal,308,521
"Protein",g,12.67,21.41
"Total lipid (fat)",g,18.67,31.55
"Carbohydrate, by difference",g,22.29,37.67
"Fiber, total dietary",g,1.5,2.5
"Sugars, total",g,0.91,1.54
Minerals
"Calcium, Ca",mg,42,71
"Iron, Fe",mg,1.16,1.96
"Magnesium, Mg",mg,21,35
"Phosphorus, P",mg,301,509
"Potassium, K",mg,108,183
"Sodium, Na",mg,1125,1901
"Zinc, Zn",mg,0.79,1.34
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.112,0.189
"Riboflavin",mg,0.129,0.218
"Niacin",mg,1.249,2.111
"Vitamin B-6",mg,0.074,0.125
"Folate, DFE",µg,62,105
"Vitamin B-12",µg,0.44,0.74
"Vitamin A, RAE",µg,3,5
"Vitamin A, IU",IU,11,19
"Vitamin E (alpha-tocopherol)",mg,2.14,3.62
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,1,2
"Vitamin K (phylloquinone)",µg,32.2,54.4
Lipids
"Fatty acids, total saturated",g,3.361,5.680
"Fatty acids, total monounsaturated",g,4.294,7.257
"Fatty acids, total polyunsaturated",g,9.311,15.736
"Fatty acids, total trans",g,0.138,0.233
"Cholesterol",mg,87,147
Amino Acids
Other
"Caffeine",mg,0,0
