Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:19 EST
"Nutrient data for: 07928, Sausage, chicken, beef, pork, skinless, smoked"
Nutrient,Unit,1Value per 100 g,"1 link = 84.0g",
Proximates
"Water",g,60.50,50.82
"Energy",kcal,216,181
"Protein",g,13.60,11.42
"Total lipid (fat)",g,14.30,12.01
"Carbohydrate, by difference",g,8.10,6.80
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,1.90,1.60
Minerals
"Calcium, Ca",mg,100,84
"Iron, Fe",mg,4.80,4.03
"Magnesium, Mg",mg,14,12
"Phosphorus, P",mg,132,111
"Potassium, K",mg,246,207
"Sodium, Na",mg,1034,869
"Zinc, Zn",mg,2.68,2.25
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.090,0.076
"Riboflavin",mg,0.166,0.139
"Niacin",mg,1.847,1.551
"Vitamin B-6",mg,0.213,0.179
"Folate, DFE",µg,6,5
"Vitamin B-12",µg,1.60,1.34
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,4.800,4.032
"Fatty acids, total monounsaturated",g,7.165,6.019
"Fatty acids, total polyunsaturated",g,0.846,0.711
"Cholesterol",mg,120,101
Amino Acids
Other
"Caffeine",mg,0,0
