Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:52 EST
"Nutrient data for: 43100, Breakfast bars, oats, sugar, raisins, coconut (include granola bar)"
Nutrient,Unit,1Value per 100 g,"1 bar = 43.0g",
Proximates
"Water",g,4.10,1.76
"Energy",kcal,464,200
"Protein",g,9.80,4.21
"Total lipid (fat)",g,17.60,7.57
"Carbohydrate, by difference",g,66.70,28.68
"Fiber, total dietary",g,3.1,1.3
"Sugars, total",g,27.52,11.83
Minerals
"Calcium, Ca",mg,60,26
"Iron, Fe",mg,3.18,1.37
"Magnesium, Mg",mg,101,43
"Phosphorus, P",mg,277,119
"Potassium, K",mg,326,140
"Sodium, Na",mg,251,108
"Zinc, Zn",mg,1.60,0.69
Vitamins
"Vitamin C, total ascorbic acid",mg,1.0,0.4
"Thiamin",mg,0.280,0.120
"Riboflavin",mg,0.110,0.047
"Niacin",mg,1.750,0.752
"Vitamin B-6",mg,0.350,0.150
"Folate, DFE",µg,81,35
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,8,3
"Vitamin A, IU",IU,152,65
"Vitamin E (alpha-tocopherol)",mg,0.82,0.35
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,15.9,6.8
Lipids
"Fatty acids, total saturated",g,12.690,5.457
"Fatty acids, total monounsaturated",g,1.933,0.831
"Fatty acids, total polyunsaturated",g,1.634,0.703
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
