Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:53 EST
"Nutrient data for: 19002, Snacks, beef jerky, chopped and formed"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 piece, large = 20.0g","1 oz = 28.35g",
Proximates
"Water",g,23.36,6.62,4.67,6.62
"Energy",kcal,410,116,82,116
"Protein",g,33.20,9.41,6.64,9.41
"Total lipid (fat)",g,25.60,7.26,5.12,7.26
"Carbohydrate, by difference",g,11.00,3.12,2.20,3.12
"Fiber, total dietary",g,1.8,0.5,0.4,0.5
"Sugars, total",g,9.00,2.55,1.80,2.55
Minerals
"Calcium, Ca",mg,20,6,4,6
"Iron, Fe",mg,5.42,1.54,1.08,1.54
"Magnesium, Mg",mg,51,14,10,14
"Phosphorus, P",mg,407,115,81,115
"Potassium, K",mg,597,169,119,169
"Sodium, Na",mg,2081,590,416,590
"Zinc, Zn",mg,8.11,2.30,1.62,2.30
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.154,0.044,0.031,0.044
"Riboflavin",mg,0.142,0.040,0.028,0.040
"Niacin",mg,1.732,0.491,0.346,0.491
"Vitamin B-6",mg,0.179,0.051,0.036,0.051
"Folate, DFE",µg,134,38,27,38
"Vitamin B-12",µg,0.99,0.28,0.20,0.28
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.49,0.14,0.10,0.14
"Vitamin D (D2 + D3)",µg,0.3,0.1,0.1,0.1
"Vitamin D",IU,11,3,2,3
"Vitamin K (phylloquinone)",µg,2.3,0.7,0.5,0.7
Lipids
"Fatty acids, total saturated",g,10.850,3.076,2.170,3.076
"Fatty acids, total monounsaturated",g,11.305,3.205,2.261,3.205
"Fatty acids, total polyunsaturated",g,1.011,0.287,0.202,0.287
"Cholesterol",mg,48,14,10,14
Amino Acids
Other
"Caffeine",mg,0,0,0,0
