Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:53 EST
"Nutrient data for: 19804, Snacks, corn-based, extruded, chips, barbecue-flavor, made with enriched masa flour"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g",
Proximates
"Water",g,1.20,0.34
"Energy",kcal,523,148
"Protein",g,7.00,1.98
"Total lipid (fat)",g,32.70,9.27
"Carbohydrate, by difference",g,56.20,15.93
Minerals
"Calcium, Ca",mg,131,37
"Iron, Fe",mg,4.90,1.39
"Magnesium, Mg",mg,77,22
"Phosphorus, P",mg,207,59
"Potassium, K",mg,236,67
"Sodium, Na",mg,763,216
"Zinc, Zn",mg,1.06,0.30
Vitamins
"Vitamin C, total ascorbic acid",mg,1.7,0.5
"Thiamin",mg,0.420,0.119
"Riboflavin",mg,0.480,0.136
"Niacin",mg,6.300,1.786
"Vitamin B-6",mg,0.230,0.065
"Folate, DFE",µg,200,57
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,31,9
"Vitamin A, IU",IU,611,173
Lipids
"Fatty acids, total saturated",g,4.460,1.264
"Fatty acids, total monounsaturated",g,9.480,2.688
"Fatty acids, total polyunsaturated",g,16.170,4.584
"Cholesterol",mg,0,0
Amino Acids
Other
