Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:54 EST
"Nutrient data for: 19026, Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 bar = 37.0g",
Proximates
"Water",g,3.20,0.91,1.18
"Energy",kcal,508,144,188
"Protein",g,10.20,2.89,3.77
"Total lipid (fat)",g,31.10,8.82,11.51
"Carbohydrate, by difference",g,53.40,15.14,19.76
"Fiber, total dietary",g,2.8,0.8,1.0
"Sugars, total",g,23.74,6.73,8.78
Minerals
"Calcium, Ca",mg,108,31,40
"Iron, Fe",mg,1.45,0.41,0.54
"Magnesium, Mg",mg,67,19,25
"Phosphorus, P",mg,227,64,84
"Potassium, K",mg,339,96,125
"Sodium, Na",mg,193,55,71
"Zinc, Zn",mg,1.47,0.42,0.54
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,0.2,0.2
"Thiamin",mg,0.100,0.028,0.037
"Riboflavin",mg,0.210,0.060,0.078
"Niacin",mg,3.290,0.933,1.217
"Vitamin B-6",mg,0.106,0.030,0.039
"Folate, DFE",µg,25,7,9
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,5,1,2
"Vitamin A, IU",IU,25,7,9
"Vitamin E (alpha-tocopherol)",mg,4.17,1.18,1.54
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,13.2,3.7,4.9
Lipids
"Fatty acids, total saturated",g,17.010,4.822,6.294
"Fatty acids, total monounsaturated",g,6.540,1.854,2.420
"Fatty acids, total polyunsaturated",g,1.900,0.539,0.703
"Cholesterol",mg,12,3,4
Amino Acids
Other
"Caffeine",mg,6,2,2
