Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:54 EST
"Nutrient data for: 19438, Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares"
Nutrient,Unit,1Value per 100 g,"1 serving = 22.0g",
Proximates
"Water",g,5.90,1.30
"Energy",kcal,414,91
"Protein",g,3.40,0.75
"Total lipid (fat)",g,9.00,1.98
"Carbohydrate, by difference",g,80.50,17.71
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,19.36,4.26
Minerals
"Calcium, Ca",mg,3,1
"Iron, Fe",mg,2.20,0.48
"Magnesium, Mg",mg,13,3
"Phosphorus, P",mg,42,9
"Potassium, K",mg,39,9
"Sodium, Na",mg,351,77
"Zinc, Zn",mg,0.50,0.11
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.700,0.154
"Riboflavin",mg,0.800,0.176
"Niacin",mg,9.100,2.002
"Vitamin B-6",mg,0.900,0.198
"Folate, DFE",µg,381,84
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,270,59
"Vitamin A, IU",IU,900,198
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,1.400,0.308
"Fatty acids, total monounsaturated",g,2.500,0.550
"Fatty acids, total polyunsaturated",g,5.100,1.122
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
