Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:54 EST
"Nutrient data for: 25066, Snacks, peas, roasted, wasabi-flavored"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,6.93,
"Energy",kcal,432,
"Protein",g,14.11,
"Total lipid (fat)",g,14.11,
"Carbohydrate, by difference",g,62.20,
"Fiber, total dietary",g,3.8,
"Sugars, total",g,14.11,
Minerals
"Calcium, Ca",mg,123,
"Iron, Fe",mg,3.80,
"Magnesium, Mg",mg,102,
"Phosphorus, P",mg,270,
"Potassium, K",mg,732,
"Sodium, Na",mg,300,
"Zinc, Zn",mg,3.31,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.614,
"Riboflavin",mg,0.314,
"Niacin",mg,5.060,
"Vitamin B-6",mg,0.548,
"Folate, DFE",µg,138,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,77,
"Vitamin A, IU",IU,1537,
"Vitamin E (alpha-tocopherol)",mg,2.31,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,50.3,
Lipids
"Fatty acids, total saturated",g,5.290,
"Fatty acids, total monounsaturated",g,5.792,
"Fatty acids, total polyunsaturated",g,1.951,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
