Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:54 EST
"Nutrient data for: 19035, Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat"
Nutrient,Unit,1Value per 100 g,"1 cup = 11.0g","1 oz = 28.35g",
Proximates
"Water",g,1.20,0.13,0.34
"Energy",kcal,583,64,165
"Protein",g,7.29,0.80,2.07
"Total lipid (fat)",g,43.55,4.79,12.35
"Carbohydrate, by difference",g,45.06,4.96,12.77
"Fiber, total dietary",g,8.1,0.9,2.3
"Sugars, total",g,0.46,0.05,0.13
Minerals
"Calcium, Ca",mg,4,0,1
"Iron, Fe",mg,1.98,0.22,0.56
"Magnesium, Mg",mg,79,9,22
"Phosphorus, P",mg,199,22,56
"Potassium, K",mg,182,20,52
"Sodium, Na",mg,679,75,192
"Zinc, Zn",mg,3.10,0.34,0.88
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,0.0,0.1
"Thiamin",mg,0.134,0.015,0.038
"Riboflavin",mg,0.057,0.006,0.016
"Niacin",mg,1.195,0.131,0.339
"Vitamin B-6",mg,0.109,0.012,0.031
"Folate, DFE",µg,25,3,7
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,8,1,2
"Vitamin A, IU",IU,154,17,44
"Vitamin E (alpha-tocopherol)",mg,2.43,0.27,0.69
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,4.1,0.5,1.2
Lipids
"Fatty acids, total saturated",g,6.820,0.750,1.933
"Fatty acids, total monounsaturated",g,9.809,1.079,2.781
"Fatty acids, total polyunsaturated",g,23.191,2.551,6.575
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
