Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:56 EST
"Nutrient data for: 06245, CAMPBELL'S CHUNKY Microwavable Bowls, Grilled Chicken and Sausage Gumbo, ready-to-serve"
Nutrient,Unit,1Value per 100 g,"1 serving 1 cup = 245.0g",
Proximates
"Water",g,87.80,215.11
"Energy",kcal,57,140
"Protein",g,2.86,7.01
"Total lipid (fat)",g,1.63,3.99
"Carbohydrate, by difference",g,7.35,18.01
"Fiber, total dietary",g,0.4,1.0
"Sugars, total",g,2.04,5.00
Minerals
"Calcium, Ca",mg,16,39
"Iron, Fe",mg,0.15,0.37
"Sodium, Na",mg,318,779
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,163,399
Lipids
"Fatty acids, total saturated",g,0.816,1.999
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,6,15
Amino Acids
Other
