Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:57 EST
"Nutrient data for: 06341, CAMPBELL'S, Cream of Potato Soup, condensed"
Nutrient,Unit,1Value per 100 g,"0.5 cup condensed = 124.0g",
Proximates
"Water",g,82.00,101.68
"Energy",kcal,71,88
"Protein",g,1.51,1.87
"Total lipid (fat)",g,1.35,1.67
"Carbohydrate, by difference",g,13.25,16.43
"Fiber, total dietary",g,1.3,1.6
"Sugars, total",g,1.44,1.79
Minerals
"Calcium, Ca",mg,17,21
"Iron, Fe",mg,0.34,0.42
"Magnesium, Mg",mg,13,16
"Phosphorus, P",mg,41,51
"Potassium, K",mg,165,205
"Sodium, Na",mg,604,749
"Zinc, Zn",mg,0.15,0.19
Vitamins
"Vitamin C, total ascorbic acid",mg,0.2,0.2
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.340,0.422
"Fatty acids, total monounsaturated",g,0.280,0.347
"Fatty acids, total polyunsaturated",g,0.630,0.781
"Fatty acids, total trans",g,0.010,0.012
"Cholesterol",mg,1,1
Amino Acids
Other
