Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:58 EST
"Nutrient data for: 06312, CAMPBELL'S Red and White, Cream of Asparagus Soup, condensed"
Nutrient,Unit,1Value per 100 g,"1 serving 1/2 cup = 124.0g",
Proximates
"Water",g,83.90,104.04
"Energy",kcal,89,110
"Protein",g,1.61,2.00
"Total lipid (fat)",g,5.65,7.01
"Carbohydrate, by difference",g,7.26,9.00
"Fiber, total dietary",g,2.4,3.0
"Sugars, total",g,1.61,2.00
Minerals
"Calcium, Ca",mg,0,0
"Potassium, K",mg,56,69
"Sodium, Na",mg,669,830
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,161,200
Lipids
"Fatty acids, total saturated",g,1.613,2.000
"Fatty acids, total monounsaturated",g,0.806,0.999
"Fatty acids, total polyunsaturated",g,3.226,4.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,4,5
Amino Acids
Other
