Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:58 EST
"Nutrient data for: 27014, CAMPBELL'S Red and White, Italian Style Wedding Soup, condensed"
Nutrient,Unit,1Value per 100 g,"0.5 cup = 126.0g","1 serving = 126.0g",
Proximates
"Water",g,83.20,104.83,104.83
"Energy",kcal,71,89,89
"Protein",g,3.17,3.99,3.99
"Total lipid (fat)",g,1.98,2.49,2.49
"Carbohydrate, by difference",g,9.52,12.00,12.00
"Fiber, total dietary",g,2.4,3.0,3.0
"Sugars, total",g,1.59,2.00,2.00
Minerals
"Calcium, Ca",mg,32,40,40
"Iron, Fe",mg,0.57,0.72,0.72
"Sodium, Na",mg,643,810,810
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Vitamin A, IU",IU,397,500,500
Lipids
"Fatty acids, total saturated",g,0.794,1.000,1.000
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,8,10,10
Amino Acids
Other
