Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:59 EST
"Nutrient data for: 06987, HEALTHY REQUEST, Cream of Celery Soup, condensed"
Nutrient,Unit,1Value per 100 g,"1 serving 1/2 cup = 124.0g",
Proximates
"Water",g,86.50,107.26
"Energy",kcal,56,69
"Protein",g,0.81,1.00
"Total lipid (fat)",g,1.61,2.00
"Carbohydrate, by difference",g,9.68,12.00
"Fiber, total dietary",g,0.8,1.0
"Sugars, total",g,1.61,2.00
Minerals
"Calcium, Ca",mg,81,100
"Iron, Fe",mg,0.00,0.00
"Potassium, K",mg,484,600
"Sodium, Na",mg,331,410
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,161,200
Lipids
"Fatty acids, total saturated",g,0.403,0.500
"Fatty acids, total monounsaturated",g,0.403,0.500
"Fatty acids, total polyunsaturated",g,0.806,0.999
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,4,5
Amino Acids
Other
