Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:01 EST
"Nutrient data for: 06972, Sauce, tomato chili sauce, bottled, with salt"
Nutrient,Unit,1Value per 100 g,"1 packet = 6.0g","1 cup = 273.0g",
Proximates
"Water",g,68.00,4.08,185.64
"Energy",kcal,92,6,251
"Protein",g,2.50,0.15,6.83
"Total lipid (fat)",g,0.30,0.02,0.82
"Carbohydrate, by difference",g,19.79,1.19,54.03
"Fiber, total dietary",g,2.4,0.1,6.6
"Sugars, total",g,13.33,0.80,36.39
Minerals
"Calcium, Ca",mg,20,1,55
"Iron, Fe",mg,0.80,0.05,2.18
"Magnesium, Mg",mg,12,1,33
"Phosphorus, P",mg,52,3,142
"Potassium, K",mg,370,22,1010
"Sodium, Na",mg,1338,80,3653
"Zinc, Zn",mg,0.16,0.01,0.44
Vitamins
"Vitamin C, total ascorbic acid",mg,16.0,1.0,43.7
"Thiamin",mg,0.090,0.005,0.246
"Riboflavin",mg,0.070,0.004,0.191
"Niacin",mg,1.600,0.096,4.368
"Vitamin B-6",mg,0.160,0.010,0.437
"Folate, DFE",µg,9,1,25
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,34,2,93
"Vitamin A, IU",IU,680,41,1856
"Vitamin E (alpha-tocopherol)",mg,1.92,0.12,5.24
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,5.2,0.3,14.2
Lipids
"Fatty acids, total saturated",g,0.045,0.003,0.123
"Fatty acids, total monounsaturated",g,0.038,0.002,0.104
"Fatty acids, total polyunsaturated",g,0.154,0.009,0.420
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
