Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:01 EST
"Nutrient data for: 06264, Sauce, white, thin, prepared-from-recipe, with butter"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,84.02,
"Energy",kcal,72,
"Protein",g,3.95,
"Total lipid (fat)",g,2.56,
"Carbohydrate, by difference",g,8.29,
"Fiber, total dietary",g,0.1,
"Sugars, total",g,5.29,
Minerals
"Calcium, Ca",mg,131,
"Iron, Fe",mg,0.22,
"Magnesium, Mg",mg,12,
"Phosphorus, P",mg,110,
"Potassium, K",mg,167,
"Sodium, Na",mg,184,
"Zinc, Zn",mg,0.47,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.068,
"Riboflavin",mg,0.208,
"Niacin",mg,0.319,
"Vitamin B-6",mg,0.037,
"Folate, DFE",µg,13,
"Vitamin B-12",µg,0.55,
"Vitamin A, RAE",µg,84,
"Vitamin A, IU",IU,286,
"Vitamin E (alpha-tocopherol)",mg,0.08,
"Vitamin K (phylloquinone)",µg,0.2,
Lipids
"Fatty acids, total saturated",g,1.600,
"Fatty acids, total monounsaturated",g,0.656,
"Fatty acids, total polyunsaturated",g,0.112,
"Fatty acids, total trans",g,0.098,
"Cholesterol",mg,8,
Amino Acids
Other
"Caffeine",mg,0,
Footnotes
(a)"Recipe No. G-08, NFSMI, Healthy School Meals Resource System, and Team Nutrition"
