Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:02 EST
"Nutrient data for: 06528, Soup, chicken noodle, dry, mix, prepared with water"
Nutrient,Unit,1Value per 100 g,"1 cup = 245.0g",
Proximates
"Water",g,94.16,230.69
"Energy",kcal,23,56
"Protein",g,0.84,2.06
"Total lipid (fat)",g,0.55,1.35
"Carbohydrate, by difference",g,3.67,8.99
"Fiber, total dietary",g,0.1,0.2
"Sugars, total",g,0.31,0.76
Minerals
"Calcium, Ca",mg,2,5
"Iron, Fe",mg,0.20,0.49
"Magnesium, Mg",mg,3,7
"Phosphorus, P",mg,12,29
"Potassium, K",mg,13,32
"Sodium, Na",mg,229,561
"Zinc, Zn",mg,0.08,0.20
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.081,0.198
"Riboflavin",mg,0.030,0.073
"Niacin",mg,0.431,1.056
"Vitamin B-6",mg,0.010,0.025
"Folate, DFE",µg,11,27
"Vitamin B-12",µg,0.02,0.05
"Vitamin A, RAE",µg,1,2
"Vitamin A, IU",IU,11,27
"Vitamin E (alpha-tocopherol)",mg,0.05,0.12
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,1.4,3.4
Lipids
"Fatty acids, total saturated",g,0.122,0.299
"Fatty acids, total monounsaturated",g,0.205,0.502
"Fatty acids, total polyunsaturated",g,0.155,0.380
"Cholesterol",mg,4,10
Amino Acids
Other
"Caffeine",mg,0,0
