Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:03 EST
"Nutrient data for: 06208, Soup, chicken vegetable with potato and cheese, chunky, ready-to-serve"
Nutrient,Unit,1Value per 100 g,"1 cup = 245.0g",
Proximates
"Water",g,87.90,215.35
"Energy",kcal,65,159
"Protein",g,1.16,2.84
"Total lipid (fat)",g,4.46,10.93
"Carbohydrate, by difference",g,5.20,12.74
"Fiber, total dietary",g,0.3,0.7
"Sugars, total",g,0.64,1.57
Minerals
"Calcium, Ca",mg,15,37
"Iron, Fe",mg,0.16,0.39
"Magnesium, Mg",mg,5,12
"Phosphorus, P",mg,19,47
"Potassium, K",mg,73,179
"Sodium, Na",mg,416,1019
"Zinc, Zn",mg,0.16,0.39
Vitamins
"Vitamin C, total ascorbic acid",mg,4.0,9.8
"Thiamin",mg,0.015,0.037
"Riboflavin",mg,0.017,0.042
"Niacin",mg,0.346,0.848
"Vitamin B-6",mg,0.042,0.103
"Folate, DFE",µg,9,22
"Vitamin B-12",µg,0.02,0.05
"Vitamin A, RAE",µg,19,47
"Vitamin A, IU",IU,375,919
"Vitamin E (alpha-tocopherol)",mg,0.06,0.15
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,2.3,5.6
Lipids
"Fatty acids, total saturated",g,1.636,4.008
"Fatty acids, total monounsaturated",g,1.605,3.932
"Fatty acids, total polyunsaturated",g,0.974,2.386
"Cholesterol",mg,7,17
Amino Acids
Other
"Caffeine",mg,0,0
