Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:03 EST
"Nutrient data for: 06968, Soup, cream of mushroom, low sodium, ready-to-serve, canned"
Nutrient,Unit,1Value per 100 g,"1 cup = 244.0g","1 can (10.75 oz) = 305.0g",
Proximates
"Water",g,90.30,220.33,275.42
"Energy",kcal,53,129,162
"Protein",g,1.00,2.44,3.05
"Total lipid (fat)",g,3.70,9.03,11.29
"Carbohydrate, by difference",g,4.53,11.05,13.82
"Fiber, total dietary",g,0.2,0.5,0.6
"Sugars, total",g,1.72,4.20,5.25
Minerals
"Calcium, Ca",mg,19,46,58
"Iron, Fe",mg,0.21,0.51,0.64
"Magnesium, Mg",mg,2,5,6
"Phosphorus, P",mg,20,49,61
"Potassium, K",mg,41,100,125
"Sodium, Na",mg,20,49,61
"Zinc, Zn",mg,0.24,0.59,0.73
Vitamins
"Vitamin C, total ascorbic acid",mg,0.4,1.0,1.2
"Thiamin",mg,0.020,0.049,0.061
"Riboflavin",mg,0.040,0.098,0.122
"Niacin",mg,0.300,0.732,0.915
"Vitamin B-6",mg,0.010,0.024,0.031
"Folate, DFE",µg,9,22,27
"Vitamin B-12",µg,0.02,0.05,0.06
"Vitamin A, RAE",µg,7,17,21
"Vitamin A, IU",IU,24,59,73
"Vitamin E (alpha-tocopherol)",mg,0.37,0.90,1.13
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.8,2.0,2.4
Lipids
"Fatty acids, total saturated",g,1.005,2.452,3.065
"Fatty acids, total monounsaturated",g,0.704,1.718,2.147
"Fatty acids, total polyunsaturated",g,1.739,4.243,5.304
"Cholesterol",mg,1,2,3
Amino Acids
Other
"Caffeine",mg,0,0,0
