Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:04 EST
"Nutrient data for: 06451, Soup, pea, split with ham, canned, prepared with equal volume water"
Nutrient,Unit,1Value per 100 g,"1 cup (8 fl oz) = 253.0g","1 can (11.5 oz), prepared = 614.0g",
Proximates
"Water",g,81.77,206.88,502.07
"Energy",kcal,75,190,460
"Protein",g,4.08,10.32,25.05
"Total lipid (fat)",g,1.74,4.40,10.68
"Carbohydrate, by difference",g,11.05,27.96,67.85
"Fiber, total dietary",g,0.9,2.3,5.5
Minerals
"Calcium, Ca",mg,9,23,55
"Iron, Fe",mg,0.90,2.28,5.53
"Magnesium, Mg",mg,19,48,117
"Phosphorus, P",mg,84,213,516
"Potassium, K",mg,158,400,970
"Sodium, Na",mg,398,1007,2444
"Zinc, Zn",mg,0.52,1.32,3.19
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,1.5,3.7
"Thiamin",mg,0.058,0.147,0.356
"Riboflavin",mg,0.030,0.076,0.184
"Niacin",mg,0.583,1.475,3.580
"Vitamin B-6",mg,0.027,0.068,0.166
"Folate, DFE",µg,1,3,6
"Vitamin B-12",µg,0.10,0.25,0.61
"Vitamin A, RAE",µg,9,23,55
"Vitamin A, IU",IU,176,445,1081
Lipids
"Fatty acids, total saturated",g,0.700,1.771,4.298
"Fatty acids, total monounsaturated",g,0.710,1.796,4.359
"Fatty acids, total polyunsaturated",g,0.250,0.632,1.535
"Cholesterol",mg,3,8,18
Amino Acids
Other
