Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:28 EST
"Nutrient data for: 02073, PACE, Dry Taco Seasoning Mix"
Nutrient,Unit,1Value per 100 g,"2.0 tbsp (1 serving) = 5.3g",
Proximates
"Water",g,5.70,0.30
"Energy",kcal,188,10
"Protein",g,0.00,0.00
"Total lipid (fat)",g,0.00,0.00
"Carbohydrate, by difference",g,56.29,2.98
"Fiber, total dietary",g,18.8,1.0
"Sugars, total",g,18.76,0.99
Minerals
"Iron, Fe",mg,6.75,0.36
"Sodium, Na",mg,8068,428
Vitamins
"Vitamin C, total ascorbic acid",mg,45.0,2.4
"Vitamin A, IU",IU,9381,497
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
