Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:31 EST
"Nutrient data for: 02039, Spices, savory, ground"
Nutrient,Unit,1Value per 100 g,"1 tsp = 1.4g","1 tbsp = 4.4g",
Proximates
"Water",g,9.00,0.13,0.40
"Energy",kcal,272,4,12
"Protein",g,6.73,0.09,0.30
"Total lipid (fat)",g,5.91,0.08,0.26
"Carbohydrate, by difference",g,68.73,0.96,3.02
"Fiber, total dietary",g,45.7,0.6,2.0
Minerals
"Calcium, Ca",mg,2132,30,94
"Iron, Fe",mg,37.88,0.53,1.67
"Magnesium, Mg",mg,377,5,17
"Phosphorus, P",mg,140,2,6
"Potassium, K",mg,1051,15,46
"Sodium, Na",mg,24,0,1
"Zinc, Zn",mg,4.30,0.06,0.19
Vitamins
"Vitamin C, total ascorbic acid",mg,50.0,0.7,2.2
"Thiamin",mg,0.366,0.005,0.016
"Niacin",mg,4.080,0.057,0.180
"Vitamin B-6",mg,1.810,0.025,0.080
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,257,4,11
"Vitamin A, IU",IU,5130,72,226
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,3.260,0.046,0.143
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
