Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:35 EST
"Nutrient data for: 42227, Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies"
Nutrient,Unit,1Value per 100 g,"1 serving 1.31 oz bag = 37.0g","1 serving about 1/4 cup = 42.0g","1 cup = 195.0g","1 piece = 3.4g",
Proximates
"Water",g,2.52,0.93,1.06,4.91,0.09
"Energy",kcal,522,193,219,1018,18
"Protein",g,7.53,2.79,3.16,14.68,0.26
"Total lipid (fat)",g,27.76,10.27,11.66,54.13,0.94
"Carbohydrate, by difference",g,60.50,22.39,25.41,117.97,2.06
"Fiber, total dietary",g,5.6,2.1,2.4,10.9,0.2
"Sugars, total",g,49.22,18.21,20.67,95.98,1.67
Minerals
"Calcium, Ca",mg,155,57,65,302,5
"Iron, Fe",mg,1.73,0.64,0.73,3.37,0.06
"Magnesium, Mg",mg,116,43,49,226,4
"Phosphorus, P",mg,203,75,85,396,7
"Potassium, K",mg,381,141,160,743,13
"Sodium, Na",mg,45,17,19,88,2
"Zinc, Zn",mg,1.86,0.69,0.78,3.63,0.06
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,0.2,0.3,1.2,0.0
"Thiamin",mg,0.110,0.041,0.046,0.214,0.004
"Riboflavin",mg,0.324,0.120,0.136,0.632,0.011
"Niacin",mg,0.952,0.352,0.400,1.856,0.032
"Vitamin B-6",mg,0.055,0.020,0.023,0.107,0.002
"Folate, DFE",µg,12,4,5,23,0
"Vitamin B-12",µg,0.22,0.08,0.09,0.43,0.01
"Vitamin A, RAE",µg,24,9,10,47,1
"Vitamin A, IU",IU,80,30,34,156,3
"Vitamin E (alpha-tocopherol)",mg,9.52,3.52,4.00,18.56,0.32
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,2.0,0.7,0.8,3.9,0.1
Lipids
"Fatty acids, total saturated",g,9.435,3.491,3.963,18.398,0.321
"Fatty acids, total monounsaturated",g,11.290,4.177,4.742,22.015,0.384
"Fatty acids, total polyunsaturated",g,3.753,1.389,1.576,7.318,0.128
"Fatty acids, total trans",g,0.072,0.027,0.030,0.140,0.002
"Cholesterol",mg,8,3,3,16,0
Amino Acids
Other
"Caffeine",mg,7,3,3,14,0
