Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:36 EST
"Nutrient data for: 19306, Candies, MARS SNACKFOOD US, POP'ABLES SNICKERS Brand Bite Size Candies"
Nutrient,Unit,1Value per 100 g,"1 serving 13 pieces = 39.0g",
Proximates
"Water",g,5.78,2.25
"Energy",kcal,480,187
"Protein",g,7.15,2.79
"Total lipid (fat)",g,24.32,9.48
"Carbohydrate, by difference",g,61.07,23.82
"Fiber, total dietary",g,2.3,0.9
"Sugars, total",g,51.69,20.16
Minerals
"Calcium, Ca",mg,96,37
"Iron, Fe",mg,0.72,0.28
"Sodium, Na",mg,224,87
Vitamins
"Vitamin C, total ascorbic acid",mg,0.5,0.2
"Vitamin A, IU",IU,174,68
Lipids
"Fatty acids, total saturated",g,9.891,3.857
"Fatty acids, total trans",g,0.405,0.158
"Cholesterol",mg,13,5
Amino Acids
Other
