Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:38 EST
"Nutrient data for: 19216, Candies, praline, prepared-from-recipe"
Nutrient,Unit,1Value per 100 g,"1 piece = 39.0g","1 recipe yield = 907.0g",
Proximates
"Water",g,10.36,4.04,93.97
"Energy",kcal,485,189,4399
"Protein",g,3.30,1.29,29.93
"Total lipid (fat)",g,25.90,10.10,234.91
"Carbohydrate, by difference",g,59.59,23.24,540.48
"Fiber, total dietary",g,3.5,1.4,31.7
"Sugars, total",g,55.79,21.76,506.02
Minerals
"Calcium, Ca",mg,43,17,390
"Iron, Fe",mg,1.29,0.50,11.70
"Magnesium, Mg",mg,49,19,444
"Phosphorus, P",mg,104,41,943
"Potassium, K",mg,217,85,1968
"Sodium, Na",mg,48,19,435
"Zinc, Zn",mg,1.67,0.65,15.15
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,0.1,2.7
"Thiamin",mg,0.203,0.079,1.841
"Riboflavin",mg,0.053,0.021,0.481
"Niacin",mg,0.415,0.162,3.764
"Vitamin B-6",mg,0.077,0.030,0.698
"Folate, DFE",µg,6,2,54
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,0,9
"Vitamin A, IU",IU,19,7,172
"Vitamin E (alpha-tocopherol)",mg,0.50,0.20,4.54
"Vitamin K (phylloquinone)",µg,1.3,0.5,11.8
Lipids
"Fatty acids, total saturated",g,2.224,0.867,20.172
"Fatty acids, total monounsaturated",g,14.683,5.726,133.175
"Fatty acids, total polyunsaturated",g,7.778,3.033,70.546
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
