Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:38 EST
"Nutrient data for: 19238, Candies, REESE'S BITES"
Nutrient,Unit,1Value per 100 g,"16.0 pieces = 39.0g",
Proximates
"Water",g,1.65,0.64
"Energy",kcal,521,203
"Protein",g,11.34,4.42
"Total lipid (fat)",g,29.85,11.64
"Carbohydrate, by difference",g,55.18,21.52
"Fiber, total dietary",g,3.1,1.2
"Sugars, total",g,48.03,18.73
Minerals
"Calcium, Ca",mg,112,44
"Iron, Fe",mg,0.85,0.33
"Magnesium, Mg",mg,63,25
"Phosphorus, P",mg,194,76
"Potassium, K",mg,382,149
"Sodium, Na",mg,179,70
"Zinc, Zn",mg,1.06,0.41
Vitamins
"Vitamin C, total ascorbic acid",mg,0.8,0.3
"Thiamin",mg,0.150,0.058
"Riboflavin",mg,0.210,0.082
"Niacin",mg,4.330,1.689
"Vitamin B-6",mg,0.100,0.039
"Vitamin A, IU",IU,60,23
Lipids
"Fatty acids, total saturated",g,18.000,7.020
"Fatty acids, total monounsaturated",g,7.060,2.753
"Fatty acids, total polyunsaturated",g,1.820,0.710
"Fatty acids, total trans",g,0.050,0.020
"Cholesterol",mg,7,3
Amino Acids
Other
"Caffeine",mg,0,0
