Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:42 EST
"Nutrient data for: 19878, Ice creams, BREYERS, All Natural Light Vanilla Chocolate Strawberry"
Nutrient,Unit,1Value per 100 g,"1 serving 1/2 cup = 68.0g",
Proximates
"Water",g,63.32,43.06
"Energy",kcal,161,109
"Protein",g,4.69,3.19
"Total lipid (fat)",g,4.35,2.96
"Carbohydrate, by difference",g,26.06,17.72
"Fiber, total dietary",g,0.4,0.3
"Sugars, total",g,22.47,15.28
Minerals
"Calcium, Ca",mg,158,107
"Iron, Fe",mg,0.31,0.21
"Sodium, Na",mg,69,47
Vitamins
"Vitamin C, total ascorbic acid",mg,1.7,1.2
"Vitamin A, IU",IU,417,284
Lipids
"Fatty acids, total saturated",g,2.700,1.836
"Cholesterol",mg,14,10
Amino Acids
Other
