Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:43 EST
"Nutrient data for: 19088, Ice creams, vanilla, light"
Nutrient,Unit,1Value per 100 g,"1 serving 1/2 cup = 76.0g",
Proximates
"Water",g,59.85,45.49
"Energy",kcal,180,137
"Protein",g,4.78,3.63
"Total lipid (fat)",g,4.83,3.67
"Carbohydrate, by difference",g,29.46,22.39
"Fiber, total dietary",g,0.3,0.2
"Sugars, total",g,22.12,16.81
Minerals
"Calcium, Ca",mg,161,122
"Iron, Fe",mg,0.19,0.14
"Magnesium, Mg",mg,14,11
"Phosphorus, P",mg,103,78
"Potassium, K",mg,208,158
"Sodium, Na",mg,74,56
"Zinc, Zn",mg,0.73,0.55
Vitamins
"Vitamin C, total ascorbic acid",mg,1.2,0.9
"Thiamin",mg,0.053,0.040
"Riboflavin",mg,0.255,0.194
"Niacin",mg,0.136,0.103
"Vitamin B-6",mg,0.045,0.034
"Folate, DFE",µg,6,5
"Vitamin B-12",µg,0.47,0.36
"Vitamin A, RAE",µg,128,97
"Vitamin A, IU",IU,448,340
"Vitamin E (alpha-tocopherol)",mg,0.12,0.09
"Vitamin D (D2 + D3)",µg,0.1,0.1
"Vitamin D",IU,4,3
"Vitamin K (phylloquinone)",µg,0.4,0.3
Lipids
"Fatty acids, total saturated",g,2.927,2.225
"Fatty acids, total monounsaturated",g,1.281,0.974
"Fatty acids, total polyunsaturated",g,0.219,0.166
"Cholesterol",mg,27,21
Amino Acids
Other
"Caffeine",mg,0,0
