Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:19 EST
"Nutrient data for: 11761, Cauliflower, cooked, boiled, drained, with salt"
Nutrient,Unit,1Value per 100 g,"0.5 cup (1"" pieces) = 62.0g","3.0 flowerets = 54.0g",
Proximates
"Water",g,93.00,57.66,50.22
"Energy",kcal,23,14,12
"Protein",g,1.84,1.14,0.99
"Total lipid (fat)",g,0.45,0.28,0.24
"Carbohydrate, by difference",g,4.11,2.55,2.22
"Fiber, total dietary",g,2.3,1.4,1.2
"Sugars, total",g,1.86,1.15,1.00
Minerals
"Calcium, Ca",mg,16,10,9
"Iron, Fe",mg,0.32,0.20,0.17
"Magnesium, Mg",mg,9,6,5
"Phosphorus, P",mg,32,20,17
"Potassium, K",mg,142,88,77
"Sodium, Na",mg,242,150,131
"Zinc, Zn",mg,0.17,0.11,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,44.3,27.5,23.9
"Thiamin",mg,0.042,0.026,0.023
"Riboflavin",mg,0.052,0.032,0.028
"Niacin",mg,0.410,0.254,0.221
"Vitamin B-6",mg,0.173,0.107,0.093
"Folate, DFE",µg,44,27,24
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,1,1
"Vitamin A, IU",IU,12,7,6
"Vitamin E (alpha-tocopherol)",mg,0.07,0.04,0.04
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,13.8,8.6,7.5
Lipids
"Fatty acids, total saturated",g,0.070,0.043,0.038
"Fatty acids, total monounsaturated",g,0.032,0.020,0.017
"Fatty acids, total polyunsaturated",g,0.217,0.135,0.117
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
