Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:22 EST
"Nutrient data for: 11225, Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt"
Nutrient,Unit,1Value per 100 g,"1 cup = 87.0g",
Proximates
"Water",g,86.90,75.60
"Energy",kcal,50,44
"Protein",g,2.95,2.57
"Total lipid (fat)",g,0.27,0.23
"Carbohydrate, by difference",g,9.20,8.00
Minerals
"Calcium, Ca",mg,41,36
"Iron, Fe",mg,0.76,0.66
"Magnesium, Mg",mg,42,37
"Phosphorus, P",mg,49,43
"Potassium, K",mg,262,228
"Sodium, Na",mg,2,2
"Zinc, Zn",mg,0.38,0.33
Vitamins
"Vitamin C, total ascorbic acid",mg,5.1,4.4
"Thiamin",mg,0.056,0.049
"Riboflavin",mg,0.088,0.077
"Niacin",mg,0.480,0.418
"Vitamin B-6",mg,0.023,0.020
"Folate, DFE",µg,47,41
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,7,6
"Vitamin A, IU",IU,142,124
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.119,0.104
"Fatty acids, total monounsaturated",g,0.129,0.112
"Fatty acids, total polyunsaturated",g,0.010,0.009
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
