Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:23 EST
"Nutrient data for: 11268, Mushrooms, shiitake, dried"
Nutrient,Unit,1Value per 100 g,"1 mushroom = 3.6g","4.0 mushrooms = 15.0g",
Proximates
"Water",g,9.50,0.34,1.43
"Energy",kcal,296,11,44
"Protein",g,9.58,0.34,1.44
"Total lipid (fat)",g,0.99,0.04,0.15
"Carbohydrate, by difference",g,75.37,2.71,11.31
"Fiber, total dietary",g,11.5,0.4,1.7
"Sugars, total",g,2.21,0.08,0.33
Minerals
"Calcium, Ca",mg,11,0,2
"Iron, Fe",mg,1.72,0.06,0.26
"Magnesium, Mg",mg,132,5,20
"Phosphorus, P",mg,294,11,44
"Potassium, K",mg,1534,55,230
"Sodium, Na",mg,13,0,2
"Zinc, Zn",mg,7.66,0.28,1.15
Vitamins
"Vitamin C, total ascorbic acid",mg,3.5,0.1,0.5
"Thiamin",mg,0.300,0.011,0.045
"Riboflavin",mg,1.270,0.046,0.191
"Niacin",mg,14.100,0.508,2.115
"Vitamin B-6",mg,0.965,0.035,0.145
"Folate, DFE",µg,163,6,24
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,3.9,0.1,0.6
"Vitamin D",IU,154,6,23
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.225,0.008,0.034
"Fatty acids, total monounsaturated",g,0.317,0.011,0.048
"Fatty acids, total polyunsaturated",g,0.151,0.005,0.023
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
