Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:25 EST
"Nutrient data for: 11817, Peas and carrots, frozen, cooked, boiled, drained, with salt"
Nutrient,Unit,1Value per 100 g,"0.5 cup = 80.0g","1 package (10 oz) yields = 278.0g",
Proximates
"Water",g,85.80,68.64,238.52
"Energy",kcal,48,38,133
"Protein",g,3.09,2.47,8.59
"Total lipid (fat)",g,0.42,0.34,1.17
"Carbohydrate, by difference",g,10.12,8.10,28.13
"Fiber, total dietary",g,3.1,2.5,8.6
"Sugars, total",g,4.36,3.49,12.12
Minerals
"Calcium, Ca",mg,23,18,64
"Iron, Fe",mg,0.94,0.75,2.61
"Magnesium, Mg",mg,16,13,44
"Phosphorus, P",mg,49,39,136
"Potassium, K",mg,158,126,439
"Sodium, Na",mg,304,243,845
"Zinc, Zn",mg,0.45,0.36,1.25
Vitamins
"Vitamin C, total ascorbic acid",mg,8.1,6.5,22.5
"Thiamin",mg,0.225,0.180,0.626
"Riboflavin",mg,0.064,0.051,0.178
"Niacin",mg,1.154,0.923,3.208
"Vitamin B-6",mg,0.087,0.070,0.242
"Folate, DFE",µg,26,21,72
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,476,381,1323
"Vitamin A, IU",IU,9514,7611,26449
"Vitamin E (alpha-tocopherol)",mg,0.52,0.42,1.45
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,18.8,15.0,52.3
Lipids
"Fatty acids, total saturated",g,0.077,0.062,0.214
"Fatty acids, total monounsaturated",g,0.035,0.028,0.097
"Fatty acids, total polyunsaturated",g,0.201,0.161,0.559
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
